Author,Date,Day,Changes length
Thomas,13/07/2015,Mon,3
Jimmy,13/07/2015,Mon,21
Alan,13/07/2015,Mon,13
Thomas,13/07/2015,Mon,2
Jimmy,13/07/2015,Mon,6
Jimmy,13/07/2015,Mon,3
Jimmy,13/07/2015,Mon,2
Thomas,13/07/2015,Mon,24
Thomas,13/07/2015,Mon,2
Thomas,13/07/2015,Mon,2
Thomas,13/07/2015,Mon,2
Thomas,13/07/2015,Mon,2
Thomas,13/07/2015,Mon,3
Thomas,13/07/2015,Mon,2
Jimmy,14/07/2015,Tue,3
Jimmy,14/07/2015,Tue,2
Jimmy,14/07/2015,Tue,7
Jimmy,14/07/2015,Tue,5
Jimmy,14/07/2015,Tue,6
Jimmy,14/07/2015,Tue,6
Jimmy,14/07/2015,Tue,11
Jimmy,15/07/2015,Wed,5
Jimmy,15/07/2015,Wed,2
Jimmy,15/07/2015,Wed,3
Jimmy,15/07/2015,Wed,2
Jimmy,15/07/2015,Wed,2
/OU=Domain Control Validated/CN=svn.company.net,15/07/2015,Wed,2
Jimmy,15/07/2015,Wed,3
Jimmy,15/07/2015,Wed,2
Jimmy,15/07/2015,Wed,4
Jimmy,15/07/2015,Wed,2
Jimmy,15/07/2015,Wed,3
Alan,15/07/2015,Wed,10
/OU=Domain Control Validated/CN=svn.company.net,15/07/2015,Wed,2
Alan,16/07/2015,Thu,2
Alan,16/07/2015,Thu,4
Jimmy,16/07/2015,Thu,7
Jimmy,16/07/2015,Thu,4
Jimmy,16/07/2015,Thu,3
Alan,16/07/2015,Thu,6
Jimmy,16/07/2015,Thu,2
Thomas,16/07/2015,Thu,2
Nicky,16/07/2015,Thu,2
Thomas,17/07/2015,Fri,2
Jimmy,17/07/2015,Fri,23
/OU=Domain Control Validated/CN=svn.company.net,17/07/2015,Fri,2
Jimmy,17/07/2015,Fri,5
Jimmy,17/07/2015,Fri,2
Jimmy,17/07/2015,Fri,3
Jimmy,17/07/2015,Fri,2
Jimmy,20/07/2015,Mon,6
Jimmy,21/07/2015,Tue,3
Jimmy,21/07/2015,Tue,3
Jimmy,21/07/2015,Tue,2
Jimmy,21/07/2015,Tue,5
Jimmy,21/07/2015,Tue,2
Thomas,21/07/2015,Tue,18
Nicky,22/07/2015,Wed,2
Thomas,22/07/2015,Wed,23
Thomas,23/07/2015,Thu,298
Thomas,23/07/2015,Thu,3
Thomas,23/07/2015,Thu,8
Thomas,23/07/2015,Thu,10
Dave,23/07/2015,Thu,77
Thomas,23/07/2015,Thu,125
Thomas,23/07/2015,Thu,2
Thomas,23/07/2015,Thu,3
/OU=Domain Control Validated/CN=svn.company.net,23/07/2015,Thu,2
Thomas,23/07/2015,Thu,10
Thomas,24/07/2015,Fri,2
Thomas,24/07/2015,Fri,2
Thomas,24/07/2015,Fri,2
Thomas,24/07/2015,Fri,3
Thomas,24/07/2015,Fri,2
Thomas,24/07/2015,Fri,2
/OU=Domain Control Validated/CN=svn.company.net,24/07/2015,Fri,2
Thomas,24/07/2015,Fri,2
Thomas,24/07/2015,Fri,3
Thomas,27/07/2015,Mon,2
Thomas,27/07/2015,Mon,4
Nicky,27/07/2015,Mon,2
Thomas,28/07/2015,Tue,2
Thomas,28/07/2015,Tue,4
Thomas,29/07/2015,Wed,5
Thomas,29/07/2015,Wed,2
Thomas,29/07/2015,Wed,2
Thomas,30/07/2015,Thu,30
Thomas,30/07/2015,Thu,2
/OU=Domain Control Validated/CN=svn.company.net,30/07/2015,Thu,2
Thomas,30/07/2015,Thu,6
Thomas,30/07/2015,Thu,2
Thomas,30/07/2015,Thu,2
Thomas,30/07/2015,Thu,3
Thomas,30/07/2015,Thu,7
Thomas,30/07/2015,Thu,2
/OU=Domain Control Validated/CN=svn.company.net,30/07/2015,Thu,2
Thomas,31/07/2015,Fri,6
Thomas,31/07/2015,Fri,4
Thomas,31/07/2015,Fri,15
Thomas,31/07/2015,Fri,2
Thomas,31/07/2015,Fri,17
Thomas,31/07/2015,Fri,3
Thomas,04/08/2015,Tue,117
Thomas,04/08/2015,Tue,2
Jimmy,04/08/2015,Tue,17
Thomas,04/08/2015,Tue,6
Thomas,04/08/2015,Tue,6
Thomas,04/08/2015,Tue,3
Jimmy,04/08/2015,Tue,2
Jimmy,04/08/2015,Tue,2
Thomas,04/08/2015,Tue,6
Jimmy,04/08/2015,Tue,7
Jimmy,04/08/2015,Tue,2
Thomas,04/08/2015,Tue,2
